,video_id,frame_seq,m1,time_seconds,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,label_measures
0,3,0,55.08175741568164,0.0,218.01376103356407,23.08679276123039,51.24451190127583,62.28964600958975,68.3593446428504,46.01086828130936,175.34537347760278,124.14507642270796,96.5,93.0,72.0,36.5,92.5,38.5,18.5,27.018512172212592,27.65863337187866,26.5,56.0,72.0,90.13878188659972,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
1,3,1,66.06814663663572,0.04,215.92822881689185,22.09072203437452,47.09564735726647,66.27216610312357,72.24956747275377,48.04164859785725,183.273020382161,136.1800279042415,103.0,97.0,77.0,39.0,96.0,45.0,23.0,28.0,27.459060435491963,27.5,55.0,71.0,87.14355971613737,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
2,3,2,72.02777242147643,0.08,217.0184323968819,21.095023109728988,49.09175083453431,66.27216610312357,73.24616030891995,48.04164859785725,190.2130384595125,141.12760183606892,105.0,103.0,82.0,44.5,97.5,45.5,28.5,30.0,29.42787793912432,29.0,57.0,74.0,86.28441342444185,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
3,3,3,83.00602387778854,0.12,219.0091322296858,21.095023109728988,52.15361924162119,65.27633568147036,73.24616030891995,45.0111097397076,201.1591409804685,149.05368160498418,107.5,105.0,84.0,49.5,106.5,51.5,32.5,25.019992006393608,27.29468812791236,27.5,70.0,101.0,91.7877987534291,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
4,3,4,94.00531899844816,0.16,219.73848092675985,24.08318915758459,53.08483775994799,70.178344238091,78.16009211867653,43.04648650006177,214.1494805036893,161.07762104029226,114.0,111.0,93.0,59.0,112.0,56.0,39.0,26.019223662515376,27.65863337187866,27.0,62.0,81.0,85.37564055396598,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
5,3,5,106.00471687618432,0.2,221.7318199988445,21.095023109728988,48.0936586256442,72.17340230306452,80.15609770940699,47.042533945356304,222.14409737825585,174.07182425654074,121.0,116.0,98.0,60.0,115.0,63.0,43.0,28.0178514522438,28.442925306655784,28.0,57.0,71.0,84.09518416651456,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
6,3,6,112.0044641967453,0.24,222.72853431924705,21.02379604162864,50.08991914547278,73.17103251970687,82.15229759416349,47.042533945356304,230.1064970834157,180.0444389588304,124.0,122.0,104.0,66.0,117.0,63.0,49.0,30.0,30.59411708155671,29.5,55.0,69.0,87.09190547921202,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
7,3,7,120.0041665943312,0.28,225.88713996153035,21.095023109728988,54.08326913195984,73.24616030891995,82.15229759416349,44.10215414239989,239.1693960355296,185.09727172489605,125.0,125.0,105.0,71.0,124.0,67.0,53.0,27.0,28.442925306655784,28.5,78.0,107.0,99.72462083156798,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
8,3,8,137.01459776242822,0.32,229.7063342618135,20.09975124224178,48.0936586256442,73.17103251970687,82.21921916437786,44.04543109109048,249.1625975141534,201.08953229842672,132.5,131.0,113.0,78.0,127.0,75.0,61.0,27.018512172212592,28.635642126552707,28.5,64.0,93.0,89.80534505250787,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
9,3,9,136.01470508735443,0.36,224.8043593883357,20.09975124224178,41.10960958218893,72.17340230306452,78.16009211867653,50.0,247.0991703749732,206.0388312915796,138.0,137.0,118.0,77.5,119.5,75.5,60.5,30.01666203960727,30.4138126514911,30.0,62.0,79.0,94.26027795418386,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
10,3,10,144.01388821915754,0.3999999999999999,225.43513479491168,20.024984394500787,41.04875150354759,71.06335201775947,78.05767098754612,49.01020301937138,254.03149411047443,213.0093894644084,141.0,137.0,123.0,81.0,124.0,80.0,63.0,30.01666203960727,31.575306807693888,31.0,55.0,69.0,92.19544457292888,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
11,3,11,142.00352108310554,0.4399999999999999,225.3752426510064,19.1049731745428,36.05551275463989,71.11258679024411,77.05841939723393,51.0098029794274,248.03225596683995,212.00943375236864,141.0,139.0,126.0,81.5,115.5,76.5,64.5,29.017236257093817,30.4138126514911,30.5,56.0,69.0,88.09086218218096,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
12,3,12,142.01408380861386,0.4799999999999999,228.2651966463569,20.024984394500787,38.05259518088089,70.11419257183242,77.00649323271382,51.0881590977792,251.00796800101784,213.0,142.0,143.0,132.0,86.5,113.5,72.5,67.5,34.058772731852805,34.23448553724738,34.0,62.0,78.0,88.2779700718135,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
13,3,13,148.00337833982033,0.5199999999999999,237.1033529918968,18.027756377319943,44.04543109109048,66.06814663663572,75.05997601918082,51.03920062069938,261.0689564080724,217.03686322834653,143.0,141.0,134.0,86.5,123.5,75.5,70.5,28.0,30.4138126514911,30.5,77.0,102.0,86.83317338436964,"{'anger': ['e1', 'e2', 'b1', 'b2', 'b3', 'm6', 'm7', 'm14', 'm17']}"
