,frame_seq,video_id,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,label_measures,label_inf
0,0,8,0,0.0,14.0,53.009433122794285,4.0,8.0,14.0,15.0,9.0,35.0,27.0,20.0,14.0,15.0,5.5,20.5,12.5,2.5,5.0,5.0990195135927845,5.0,17.0,18.0,24.0,{},{}
1,1,8,0,0.0333666666666666,15.0,52.009614495783374,5.0,8.0,14.0,14.0,9.0,37.0,29.0,21.5,16.0,17.0,7.5,20.5,12.5,3.5,5.0990195135927845,4.123105625617661,4.5,18.0,18.0,23.0,{},{}
2,2,8,0,0.0667333333333332,16.0,52.0,4.123105625617661,7.0,13.0,15.0,9.0,36.013886210738214,29.017236257093817,21.0,17.0,17.0,8.0,19.0,11.0,4.0,5.0,5.0990195135927845,5.0,18.0,18.0,23.021728866442675,{},{}
3,3,8,0,0.1000999999999998,14.0,49.0,5.0990195135927845,9.0,13.0,14.0,8.06225774829855,36.0,27.0,20.0,17.0,17.0,9.0,19.0,10.0,4.0,4.0,4.123105625617661,4.5,17.0,19.0,23.0,{},{}
4,4,8,0,0.1334666666666664,8.0,46.01086828130936,5.0,10.0,12.041594578792296,13.0,9.0,32.0,22.0,18.0,19.0,18.0,9.5,13.5,3.5,4.5,5.0,5.0990195135927845,4.5,17.0,19.0,22.02271554554524,{},{}
5,5,8,0,0.166833333333333,4.0,44.04543109109048,6.0,8.06225774829855,12.041594578792296,12.041594578792296,10.04987562112089,28.0713376952364,20.024984394500787,18.0,20.0,18.0,9.0,9.0,1.0,3.0,6.0,4.123105625617661,4.5,17.0,19.0,22.02271554554524,{},{}
6,6,8,0,0.2001999999999996,1.0,44.01136216933077,7.0,8.06225774829855,10.0,11.0,10.04987562112089,26.0768096208106,18.027756377319943,17.5,18.0,17.0,7.5,8.5,0.5,0.5,5.0,5.0990195135927845,4.5,17.0,20.0,22.02271554554524,{},{}
7,7,8,0,0.2335666666666662,1.0,43.04648650006177,8.06225774829855,8.0,11.04536101718726,11.0,10.0,27.018512172212592,19.026297590440446,18.5,20.0,18.0,9.0,8.0,0.0,2.0,5.0,5.0,5.0,17.0,20.0,21.02379604162864,{},{}
8,8,8,0,0.2669333333333328,4.0,43.01162633521314,6.082762530298219,9.055385138137416,11.0,12.0,10.0,29.068883707497267,20.024984394500787,18.0,19.0,18.0,8.5,10.5,1.5,2.5,5.0,4.123105625617661,4.0,18.0,20.0,22.02271554554524,{},{}
9,9,8,0,0.3002999999999994,8.0,44.01136216933077,5.0,8.0,12.0,13.038404810405298,10.04987562112089,31.016124838541646,23.021728866442675,19.0,19.0,18.0,8.5,12.5,4.5,3.5,5.0,4.123105625617661,4.5,17.0,19.0,22.02271554554524,{},{}
10,10,8,0,0.333666666666666,9.0,44.01136216933077,5.0,8.0,12.0,13.038404810405298,9.055385138137416,31.016124838541646,23.021728866442675,18.5,19.0,18.0,9.5,12.5,4.5,4.5,5.0,5.0990195135927845,5.0,17.0,19.0,23.021728866442675,{},{}
11,11,8,0,0.3670333333333326,11.0,44.01136216933077,5.0,7.0,12.0,13.0,8.06225774829855,31.016124838541646,24.020824298928627,18.5,19.0,18.0,10.5,12.5,4.5,5.5,5.0990195135927845,5.0990195135927845,5.0,17.0,19.0,23.0,{},{}
12,12,8,0,0.4003999999999992,11.0,45.0111097397076,5.0,8.0,13.0,13.0,8.06225774829855,32.01562118716424,24.020824298928627,18.5,19.0,18.0,10.5,13.5,5.5,5.5,5.0,5.0990195135927845,5.0,17.0,19.0,22.0,{},{}
13,13,8,0,0.4337666666666658,10.0,44.01136216933077,4.0,8.0,13.0,14.0,10.04987562112089,32.01562118716424,24.020824298928627,19.0,19.0,18.0,8.5,13.5,5.5,4.5,5.0990195135927845,5.0,5.0,18.0,19.0,22.0,{},{}
14,14,8,0,0.4671333333333324,4.123105625617661,43.0,6.0,9.0,11.0,12.0,10.0,29.017236257093817,20.024984394500787,18.0,18.0,18.0,8.0,11.0,2.0,2.0,6.0,5.0,4.5,18.0,19.0,23.0,{},{}
15,15,8,0,0.5004999999999991,1.0,44.0,6.0,9.0,11.0,12.0,11.0,27.0,18.0,17.5,18.0,18.0,7.0,9.0,0.0,1.0,5.0,5.0990195135927845,5.0,18.0,19.0,21.0,{},{}
